-0.38620583667910885 , -0.4080308343747834 , 0.8473584905266637 , 0.19826596053386067
-0.32472720466010335 , -0.5468982404028095 , 0.8100601119722282 , 0.19826596053386067
-0.8308674619562115 , -0.14535467795757906 , 0.4188438530655609 , 0.19826596053386067
True , |Sim Sucess|
False , |Real Sucess|
17 , |Parent of Generation|
25.776255473527687 , |Acc Euclidean Generation|
18 , Generation
309 , |Individual Number|
3 , |Number of points|
-0.38620583667910885 , -0.4080308343747834 , 0.8473584905266637 , 0.19826596053386067
-0.32472720466010335 , -0.5468982404028095 , 0.8100601119722282 , 0.19826596053386067
-0.8308674619562115 , -0.14535467795757906 , 0.4188438530655609 , 0.19826596053386067
True , |Sim Sucess|
False , |Real Sucess|
18 , |Parent of Generation|
28.165366664490076 , |Acc Euclidean Generation|
18 , Generation
309 , |Individual Number|
3 , |Number of points|
-0.38620583667910885 , -0.4080308343747834 , 0.8473584905266637 , 0.19826596053386067
-0.32472720466010335 , -0.5468982404028095 , 0.8100601119722282 , 0.19826596053386067
-0.8308674619562115 , -0.14535467795757906 , 0.4188438530655609 , 0.19826596053386067
True , |Sim Sucess|
False , |Real Sucess|
19 , |Parent of Generation|
30.554477855452465 , |Acc Euclidean Generation|
18 , Generation
309 , |Individual Number|
3 , |Number of points|
-0.3566563570784067 , -0.5004531591427956 , 0.7520982308682762 , 0.19826596053386067
-0.26006137699563037 , -0.5595628575308617 , 0.7973533063924833 , 0.19826596053386067
-0.7555295404474258 , -0.18479587122087435 , 0.41722869561373344 , 0.19826596053386067
True , |Sim Sucess|
False , |Real Sucess|
20 , |Parent of Generation|
32.9794427849207 , |Acc Euclidean Generation|
18 , Generation
309 , |Individual Number|
3 , |Number of points|
-0.3566563570784067 , -0.5004531591427956 , 0.7520982308682762 , 0.19826596053386067
-0.26006137699563037 , -0.5595628575308617 , 0.7973533063924833 , 0.19826596053386067
-0.7555295404474258 , -0.18479587122087435 , 0.41722869561373344 , 0.19826596053386067
18 , Generation
309 , |Individual Number|
3 , |Number of points|
-0.2860341961824485 , -0.36040215877983606 , 0.9229140515718544 , 0.19826596053386067
-0.6268445289976007 , -0.6986051285962558 , 1.0672534798372268 , 0.19826596053386067
-0.6406464021408965 , 0.5620349410223402 , 0.3669706624063168 , 0.19826596053386067
18 , Generation
309 , |Individual Number|
3 , |Number of points|
-0.2860341961824485 , -0.36040215877983606 , 0.9229140515718544 , 0.19826596053386067
-0.6268445289976007 , -0.6986051285962558 , 1.0672534798372268 , 0.19826596053386067
-0.6406464021408965 , 0.5620349410223402 , 0.3669706624063168 , 0.19826596053386067
18 , Generation
309 , |Individual Number|
3 , |Number of points|
-0.2860341961824485 , -0.36040215877983606 , 0.9229140515718544 , 0.19826596053386067
-0.6268445289976007 , -0.6986051285962558 , 1.0672534798372268 , 0.19826596053386067
-0.6406464021408965 , 0.5620349410223402 , 0.3669706624063168 , 0.19826596053386067
18 , Generation
309 , |Individual Number|
3 , |Number of points|
-0.2860341961824485 , -0.36040215877983606 , 0.9229140515718544 , 0.19826596053386067
-0.6268445289976007 , -0.6986051285962558 , 1.0672534798372268 , 0.19826596053386067
-0.6406464021408965 , 0.5620349410223402 , 0.3669706624063168 , 0.19826596053386067
18 , Generation
309 , |Individual Number|
3 , |Number of points|
-0.2860341961824485 , -0.36040215877983606 , 0.9229140515718544 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
-0.6268445289976007 , -0.6986051285962558 , 1.0672534798372268 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
-0.6406464021408965 , 0.5620349410223402 , 0.3669706624063168 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
18 , Generation
309 , |Individual Number|
3 , |Number of points|
-0.2860341961824485 , -0.36040215877983606 , 0.9229140515718544 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
-0.6268445289976007 , -0.6986051285962558 , 1.0672534798372268 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
-0.6406464021408965 , 0.5620349410223402 , 0.3669706624063168 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
18 , Generation
309 , |Individual Number|
3 , |Number of points|
-0.2860341961824485 , -0.36040215877983606 , 0.9229140515718544 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
-0.6268445289976007 , -0.6986051285962558 , 1.0672534798372268 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
-0.6406464021408965 , 0.5620349410223402 , 0.3669706624063168 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
18 , Generation
309 , |Individual Number|
3 , |Number of points|
-0.2860341961824485 , -0.36040215877983606 , 0.9229140515718544 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
-0.6268445289976007 , -0.6986051285962558 , 1.0672534798372268 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
-0.6406464021408965 , 0.5620349410223402 , 0.3669706624063168 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
18 , Generation
309 , |Individual Number|
3 , |Number of points|
-0.2860341961824485 , -0.36040215877983606 , 0.9229140515718544 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
-0.6268445289976007 , -0.6986051285962558 , 1.0672534798372268 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
-0.6406464021408965 , 0.5620349410223402 , 0.3669706624063168 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
18 , Generation
309 , |Individual Number|
3 , |Number of points|
-0.2860341961824485 , -0.36040215877983606 , 0.9229140515718544 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
-0.6268445289976007 , -0.6986051285962558 , 1.0672534798372268 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
-0.6406464021408965 , 0.5620349410223402 , 0.3669706624063168 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
18 , Generation
309 , |Individual Number|
3 , |Number of points|
-0.2860341961824485 , -0.36040215877983606 , 0.9229140515718544 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
-0.6268445289976007 , -0.6986051285962558 , 1.0672534798372268 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
-0.6406464021408965 , 0.5620349410223402 , 0.3669706624063168 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
18 , Generation
309 , |Individual Number|
3 , |Number of points|
-0.2860341961824485 , -0.36040215877983606 , 0.9229140515718544 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
-0.6268445289976007 , -0.6986051285962558 , 1.0672534798372268 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
-0.6406464021408965 , 0.5620349410223402 , 0.3669706624063168 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
18 , Generation
309 , |Individual Number|
3 , |Number of points|
-0.2860341961824485 , -0.36040215877983606 , 0.9229140515718544 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
-0.6268445289976007 , -0.6986051285962558 , 1.0672534798372268 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
-0.6406464021408965 , 0.5620349410223402 , 0.3669706624063168 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
18 , Generation
309 , |Individual Number|
3 , |Number of points|
-0.2860341961824485 , -0.36040215877983606 , 0.9229140515718544 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
-0.6268445289976007 , -0.6986051285962558 , 1.0672534798372268 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
-0.6406464021408965 , 0.5620349410223402 , 0.3669706624063168 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
18 , Generation
309 , |Individual Number|
3 , |Number of points|
-0.2860341961824485 , -0.36040215877983606 , 0.9229140515718544 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
-0.6268445289976007 , -0.6986051285962558 , 1.0672534798372268 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
-0.6406464021408965 , 0.5620349410223402 , 0.3669706624063168 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
18 , Generation
309 , |Individual Number|
3 , |Number of points|
-0.2860341961824485 , -0.36040215877983606 , 0.9229140515718544 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
-0.6268445289976007 , -0.6986051285962558 , 1.0672534798372268 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
-0.6406464021408965 , 0.5620349410223402 , 0.3669706624063168 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
18 , Generation
309 , |Individual Number|
3 , |Number of points|
-0.2860341961824485 , -0.36040215877983606 , 0.9229140515718544 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
-0.6268445289976007 , -0.6986051285962558 , 1.0672534798372268 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
-0.6406464021408965 , 0.5620349410223402 , 0.3669706624063168 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
18 , Generation
309 , |Individual Number|
3 , |Number of points|
-0.2860341961824485 , -0.36040215877983606 , 0.9229140515718544 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
-0.6268445289976007 , -0.6986051285962558 , 1.0672534798372268 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
-0.6406464021408965 , 0.5620349410223402 , 0.3669706624063168 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
18 , Generation
309 , |Individual Number|
3 , |Number of points|
-0.2860341961824485 , -0.36040215877983606 , 0.9229140515718544 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
-0.6268445289976007 , -0.6986051285962558 , 1.0672534798372268 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
-0.6406464021408965 , 0.5620349410223402 , 0.3669706624063168 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
18 , Generation
309 , |Individual Number|
3 , |Number of points|
-0.2860341961824485 , -0.36040215877983606 , 0.9229140515718544 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
-0.6268445289976007 , -0.6986051285962558 , 1.0672534798372268 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
-0.6406464021408965 , 0.5620349410223402 , 0.3669706624063168 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
18 , Generation
309 , |Individual Number|
3 , |Number of points|
-0.2860341961824485 , -0.36040215877983606 , 0.9229140515718544 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
-0.6268445289976007 , -0.6986051285962558 , 1.0672534798372268 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
-0.6406464021408965 , 0.5620349410223402 , 0.3669706624063168 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
18 , Generation
309 , |Individual Number|
3 , |Number of points|
-0.2860341961824485 , -0.36040215877983606 , 0.9229140515718544 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
-0.6268445289976007 , -0.6986051285962558 , 1.0672534798372268 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
-0.6406464021408965 , 0.5620349410223402 , 0.3669706624063168 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
18 , Generation
309 , |Individual Number|
3 , |Number of points|
-0.2860341961824485 , -0.36040215877983606 , 0.9229140515718544 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
-0.6268445289976007 , -0.6986051285962558 , 1.0672534798372268 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
-0.6406464021408965 , 0.5620349410223402 , 0.3669706624063168 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
18 , Generation
309 , |Individual Number|
3 , |Number of points|
-0.2860341961824485 , -0.36040215877983606 , 0.9229140515718544 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
-0.6268445289976007 , -0.6986051285962558 , 1.0672534798372268 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
-0.6406464021408965 , 0.5620349410223402 , 0.3669706624063168 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
18 , Generation
309 , |Individual Number|
3 , |Number of points|
-0.2860341961824485 , -0.36040215877983606 , 0.9229140515718544 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
-0.6268445289976007 , -0.6986051285962558 , 1.0672534798372268 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
-0.6406464021408965 , 0.5620349410223402 , 0.3669706624063168 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
18 , Generation
309 , |Individual Number|
3 , |Number of points|
-0.2860341961824485 , -0.36040215877983606 , 0.9229140515718544 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
-0.6268445289976007 , -0.6986051285962558 , 1.0672534798372268 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
-0.6406464021408965 , 0.5620349410223402 , 0.3669706624063168 , |[0.19826596053386067, 0.19826596053386067, 0.19826596053386067]|
